サービスタグ,カテゴリー,カテゴリー_en,質問,質問_en,回答,回答_en,is_popular
ALL,SIMサービス,SIM Service,1ヶ月単位でのご契約が可能です。ご都合のよい契約期間をお選びください。,1ヶ月単位でのご契約が可能です。ご都合のよい契約期間をお選びください。,,,
ALL,SIMサービス,SIM Service,"お引越し先では引き続き『Sun-Net光』のご利用（プラン変更）が可能です。※一部建物を除く
以下ページをご確認ください。
http://www.sunrise-net.ne.jp/sunnethikari.html
プラン変更をされない場合は解約はご解約月の前月末日までに弊社ホームページよりお手続きが必要です。お電話やメールによる解約受付は行っておりません。解約金として月額料金相当の解約金が発生いたしますのでご了承ください。","お引越し先では引き続き『Sun-Net光』のご利用（プラン変更）が可能です。※一部建物を除く
以下ページをご確認ください。
http://www.sunrise-net.ne.jp/sunnethikari.html
プラン変更をされない場合は解約はご解約月の前月末日までに弊社ホームページよりお手続きが必要です。お電話やメールによる解約受付は行っておりません。解約金として月額料金相当の解約金が発生いたしますのでご了承ください。",,,
ALL,SIMサービス,SIM Service,はい、可能です。但し購入プランの方がレンタルプランに比べて月額料金の設定を低くしておりますので今後のご利用予定期間と比較しご検討ください。ご希望の際はプラン変更フォームよりお手続きをおねがいします。※別途無線ルーターの送料が発生いたします。,はい、可能です。但し購入プランの方がレンタルプランに比べて月額料金の設定を低くしておりますので今後のご利用予定期間と比較しご検討ください。ご希望の際はプラン変更フォームよりお手続きをおねがいします。※別途無線ルーターの送料が発生いたします。,,,
寮内ネット,SIMサービス,SIM Service,無線ルータのご使用に関してシステム運営上、一律弊社ルータに限らせて頂いており、無線ルーターを含むお持ち込み機器の利用はご遠慮頂いております。,無線ルータのご使用に関してシステム運営上、一律弊社ルータに限らせて頂いており、無線ルーターを含むお持ち込み機器の利用はご遠慮頂いております。,,,
寮内ネット,SIM設定,SIM Settings,購入プランの方がレンタルプランに比べて月額利用料金を低く設定しています。継続して2年以上ご利用の予定がある場合は購入プランがおすすめです。尚、一部プランを除きいずれのプランにおいてもインターネット品質に大きな違いはありません。,購入プランの方がレンタルプランに比べて月額利用料金を低く設定しています。継続して2年以上ご利用の予定がある場合は購入プランがおすすめです。尚、一部プランを除きいずれのプランにおいてもインターネット品質に大きな違いはありません。,,,
寮内ネット,SIM設定,SIM Settings,"ネットワーク機器等に付いている固有の識別番号です。有線LANのほかに、無線LANやスマートフォン、プリンターなどにもMACアドレスが割り当てられています。
MACアドレスは12桁の16進数で「00-00-00-XX-XX-XX」と表される。前半6桁がメーカー固有のアドレスで、後半6桁が製品個々のアドレスとなります。物理アドレスやWiFiアドレス等と表示される場合があります。","ネットワーク機器等に付いている固有の識別番号です。有線LANのほかに、無線LANやスマートフォン、プリンターなどにもMACアドレスが割り当てられています。
MACアドレスは12桁の16進数で「00-00-00-XX-XX-XX」と表される。前半6桁がメーカー固有のアドレスで、後半6桁が製品個々のアドレスとなります。物理アドレスやWiFiアドレス等と表示される場合があります。",,,
寮内ネット,料金支払,Payment,LANケーブルを用いた接続方式です。一般的に無線接続に比べて通信や電波状況が安定しています。ご利用いただくにはLAN端子対応の機器及びMACアドレスの登録が必要です。未対応機器の場合有線LANアダプター（MACアドレスの登録が必要）を利用することにより接続が可能です。,LANケーブルを用いた接続方式です。一般的に無線接続に比べて通信や電波状況が安定しています。ご利用いただくにはLAN端子対応の機器及びMACアドレスの登録が必要です。未対応機器の場合有線LANアダプター（MACアドレスの登録が必要）を利用することにより接続が可能です。,,,
寮内ネット,料金支払,Payment,弊社システムの仕様上ご利用いただくことはできません。弊社から送られる指定の無線ルーターをご利用ください。,弊社システムの仕様上ご利用いただくことはできません。弊社から送られる指定の無線ルーターをご利用ください。,,,
寮内ネット,料金支払,Payment,WiFiプラス購入プランご加入の場合は可能です。無線ルーター代金及び送料のご請求となります。,WiFiプラス購入プランご加入の場合は可能です。無線ルーター代金及び送料のご請求となります。,,,
寮内ネット,料金支払,Payment,弊社からお送りする無線ルーターに付属のLANケーブルがついています。WiFi接続のみご利用の場合はご用意いただく必要はありません。有線LAN接続をご希望の場合や無線ルーターの設置場所を変更される場合はご用意ください。※弊社でもLANケーブルの販売を行っております。,弊社からお送りする無線ルーターに付属のLANケーブルがついています。WiFi接続のみご利用の場合はご用意いただく必要はありません。有線LAN接続をご希望の場合や無線ルーターの設置場所を変更される場合はご用意ください。※弊社でもLANケーブルの販売を行っております。,,,
寮内ネット,料金支払,Payment,"はい。お申込は可能です。ノートパソコンが届きましたらMACアドレスをお調べいただき下記フォームよりMACアドレス申請をおねがいします。
https://sunrise-net-s.cms2.jp/contact_list/mac_application_add.html","はい。お申込は可能です。ノートパソコンが届きましたらMACアドレスをお調べいただき下記フォームよりMACアドレス申請をおねがいします。
https://sunrise-net-s.cms2.jp/contact_list/mac_application_add.html",,,
寮内ネット,料金支払,Payment,はい。可能です。MACアドレスを物理アドレスやフィジカルアドレス（physical address）と呼ぶ場合もあります。又、端末によりMACアドレスの名称が異なる場合があります。IOSの場合はWiFiアドレス、Androidの場合はWiFiMACアドレスと表示されます。Windows製品とAPPLE製品でも名称が異なります。,はい。可能です。MACアドレスを物理アドレスやフィジカルアドレス（physical address）と呼ぶ場合もあります。又、端末によりMACアドレスの名称が異なる場合があります。IOSの場合はWiFiアドレス、Androidの場合はWiFiMACアドレスと表示されます。Windows製品とAPPLE製品でも名称が異なります。,,,
寮内ネット,クレジットカード,Credit Card,ご契約終了後1週間以内までにお願いします。契約終了期間前にご退寮・お引越し等ございましたら事前にご返却ください。,ご契約終了後1週間以内までにお願いします。契約終了期間前にご退寮・お引越し等ございましたら事前にご返却ください。,,,
寮内ネット,クレジットカード,Credit Card,まずは弊社までお問合せを頂きお早目にご返却ください。ご返却がない場合は無線ルーター相当額の弁償金の請求となりますのでご注意ください。,まずは弊社までお問合せを頂きお早目にご返却ください。ご返却がない場合は無線ルーター相当額の弁償金の請求となりますのでご注意ください。,,,
寮内ネット,クレジットカード,Credit Card,"■ご返却先

株式会社 サンライズ
〒103-0004 東京都中央区東日本橋2-14-1　DKK東日本橋ビル4F

無線ルータの箱又は袋の中に弊社住所印字済みの伝票がございましたら
そちらをお使いください。

伝票がない場合はお手数ですがお近くのコンビニエンス等で返却いただきますようお願い致します。
（※伝票のいずれかに会員ID番号をお書きください）
ご返却時の送料はお客様負担となりますのでご了承ください。","■ご返却先

株式会社 サンライズ
〒103-0004 東京都中央区東日本橋2-14-1　DKK東日本橋ビル4F

無線ルータの箱又は袋の中に弊社住所印字済みの伝票がございましたら
そちらをお使いください。

伝票がない場合はお手数ですがお近くのコンビニエンス等で返却いただきますようお願い致します。
（※伝票のいずれかに会員ID番号をお書きください）
ご返却時の送料はお客様負担となりますのでご了承ください。",,,
ALL,,,弊社カスタマーサポートまでお問合せください。,弊社カスタマーサポートまでお問合せください。,,,
寮内ネット,MACアドレス,,同系統端末の登録は2台までとなります。尚、契約者所有の端末のみ対象です。3台目以降の登録を希望される場合は別途誓約書をご提出いただきます。,同系統端末の登録は2台までとなります。尚、契約者所有の端末のみ対象です。3台目以降の登録を希望される場合は別途誓約書をご提出いただきます。,,,
寮内ネット,MACアドレス,,個人契約となり、ご利用は契約者が所有する端末に限ります。ご契約者以外の端末に関する登録及び利用はご遠慮いただいております。,個人契約となり、ご利用は契約者が所有する端末に限ります。ご契約者以外の端末に関する登録及び利用はご遠慮いただいております。,,,
寮内ネット,クレジットカード払い,Credit Card Payment,まずは1年間でお申込頂き、教育実習が決まるまでは最小単位でのご継続手続きをおすすめしております。尚、寮内ネットサービスに限り、大学公認での一時離寮で且つ弊社契約期間内に同じ寮に戻る予定がある場合は一時休止扱いが可能です。詳しくはカスタマーデスクまでお問合せください。,まずは1年間でお申込頂き、教育実習が決まるまでは最小単位でのご継続手続きをおすすめしております。尚、寮内ネットサービスに限り、大学公認での一時離寮で且つ弊社契約期間内に同じ寮に戻る予定がある場合は一時休止扱いが可能です。詳しくはカスタマーデスクまでお問合せください。,,,
寮内ネット,クレジットカード払い,Credit Card Payment,ご契約期間中となりますのでご利用料金として発生します。,ご契約期間中となりますのでご利用料金として発生します。,,,
寮内ネット,クレジットカード払い,Credit Card Payment,まずは短期契約期間にてお申込頂き、留学期間が決まるまでは最小単位でのご継続手続きをおすすめしております。尚、寮内ネットサービスに限り、大学公認の留学で且つ帰国後、弊社契約期間内に同じ寮に戻る予定がある場合は一時休止扱いが可能です。詳しくはカスタマーデスクまでお問合せください。,まずは短期契約期間にてお申込頂き、留学期間が決まるまでは最小単位でのご継続手続きをおすすめしております。尚、寮内ネットサービスに限り、大学公認の留学で且つ帰国後、弊社契約期間内に同じ寮に戻る予定がある場合は一時休止扱いが可能です。詳しくはカスタマーデスクまでお問合せください。,,,
寮内ネット,相部屋,Shared Room,ご契約中の方が同室にいるかご確認ください。無線ルーターは個人貸出となりますのでご契約者毎にそれぞれお使いください。その際分配に使用するHUBが必要な場合は弊社よりレンタル品としてお送りしますのでお問合せください。同室にご契約者がいない場合は、前契約者様がご返却されていない可能性がございますので、お手数ですが弊社までお問合せください。,ご契約中の方が同室にいるかご確認ください。無線ルーターは個人貸出となりますのでご契約者毎にそれぞれお使いください。その際分配に使用するHUBが必要な場合は弊社よりレンタル品としてお送りしますのでお問合せください。同室にご契約者がいない場合は、前契約者様がご返却されていない可能性がございますので、お手数ですが弊社までお問合せください。,,,
寮内ネット,相部屋,Shared Room,個人貸出となりますので、ご契約者様にてご返却ください。,個人貸出となりますので、ご契約者様にてご返却ください。,,,
寮内ネット,相部屋,Shared Room,分配に使用するHUBが必要な場合は弊社よりレンタル品としてお送りしますのでお問合せください。,分配に使用するHUBが必要な場合は弊社よりレンタル品としてお送りしますのでお問合せください。,,,
Sun-Net光,エリア判定,Area Check,お引越し先のご住所をお伺いの上、建物のインターネット設備状況や開通工事発生の有無や開通可能日をお調べすることができます。まずはお気軽に弊社までお問合せください。,お引越し先のご住所をお伺いの上、建物のインターネット設備状況や開通工事発生の有無や開通可能日をお調べすることができます。まずはお気軽に弊社までお問合せください。,,,
Sun-Net光,,,サービスの一時停止は可能ですが停止期間中においてもインターネット利用料金は発生します。Sun-Net光サービスお申込前に今後のご予定について弊社までご相談ください。,サービスの一時停止は可能ですが停止期間中においてもインターネット利用料金は発生します。Sun-Net光サービスお申込前に今後のご予定について弊社までご相談ください。,,,
Sun-Net光,,,まずはお住まいのご住所にてシステム確認を行います。オーナー様への許可に関しては建物によりまちまちではありますが弊社で開通までのご連絡をとる場合もございますのでまずはお気軽にご相談ください。※建物の構造やオーナー様のご意向、NTTサービスの地域的な問題等によりご提供できない場合がございます。,まずはお住まいのご住所にてシステム確認を行います。オーナー様への許可に関しては建物によりまちまちではありますが弊社で開通までのご連絡をとる場合もございますのでまずはお気軽にご相談ください。※建物の構造やオーナー様のご意向、NTTサービスの地域的な問題等によりご提供できない場合がございます。,,,
Sun-Net光,SIMサービス,SIM Service,"●NTT東、西日本が提供する光回線をご契約中の場合→転用手続きによりご利用が可能です。
●他社光コラボレーション事業者の光回線をご利用の場合→事業者変更手続きによりご利用が可能です。
※プロバイダ契約については上記手続きによる切替ができませんのでお客様ご自身で解約手続きを行っていただく必要があります。
※NTT東、西または光コラボレーション事業者が提供する光回線以外のサービスをご利用中の場合は、新規申込としてSun-Net光のご提供となります。","●NTT東、西日本が提供する光回線をご契約中の場合→転用手続きによりご利用が可能です。
●他社光コラボレーション事業者の光回線をご利用の場合→事業者変更手続きによりご利用が可能です。
※プロバイダ契約については上記手続きによる切替ができませんのでお客様ご自身で解約手続きを行っていただく必要があります。
※NTT東、西または光コラボレーション事業者が提供する光回線以外のサービスをご利用中の場合は、新規申込としてSun-Net光のご提供となります。",,,
Sun-Net光,,,Sun-Net光は、回線契約とプロバイダ契約をセットにしたサービスですので別途プロバイダ契約を行う必要はありません。,Sun-Net光は、回線契約とプロバイダ契約をセットにしたサービスですので別途プロバイダ契約を行う必要はありません。,,,
Sun-Net光,,,"NTT東西の提供エリアにより違いがあります。同一エリア内でのお引越しの場合は移転手続きを行うことで引き続きご利用可能です。
・光引越事務手数料・・・3,300円
・光引越時工事費用・・・4,950円
お引越し先の建物構造等によりご提供できない場合もありますのでご了承ください。
尚、NTT西エリアから東エリアへとエリアをまたぐお引越しの場合はご解約手続きおよび新規回線申込が必要です。詳細につきましてはお手数ですが下記までお問合せください。

フリーダイヤル：0120-336-326
メールアドレス：sales@sunrise-net.co.jp","NTT東西の提供エリアにより違いがあります。同一エリア内でのお引越しの場合は移転手続きを行うことで引き続きご利用可能です。
・光引越事務手数料・・・3,300円
・光引越時工事費用・・・4,950円
お引越し先の建物構造等によりご提供できない場合もありますのでご了承ください。
尚、NTT西エリアから東エリアへとエリアをまたぐお引越しの場合はご解約手続きおよび新規回線申込が必要です。詳細につきましてはお手数ですが下記までお問合せください。

フリーダイヤル：0120-336-326
メールアドレス：sales@sunrise-net.co.jp",,,
Sun-Net光,Sun-Net光,Sun-Net Hikari,Sun-Net光サービスではMACアドレスの申請は必要ありません。ご利用においては個人所有端末等の制限なくご自由に接続可能です。,Sun-Net光サービスではMACアドレスの申請は必要ありません。ご利用においては個人所有端末等の制限なくご自由に接続可能です。,,,
Sun-Net光,Sun-Net光,Sun-Net Hikari,Sun-Net光では利用台数の制限はありません。但し一般的には同時にインターネット接続をする端末が多いほど速度は遅くなりますのでご注意ください。毎月の通信量上限は設けておらず使い放題のサービスです。,Sun-Net光では利用台数の制限はありません。但し一般的には同時にインターネット接続をする端末が多いほど速度は遅くなりますのでご注意ください。毎月の通信量上限は設けておらず使い放題のサービスです。,,,
Sun-Net光,接続の基本とトラブルシューティング,Basic Connection & Troubleshooting,毎月200円（税抜）/220円（税込）の料金にてレンタル可能です。尚、光回線ご利用にあたってはレンタル無線ルーターの初期化及び設定を行う必要があります。,毎月200円（税抜）/220円（税込）の料金にてレンタル可能です。尚、光回線ご利用にあたってはレンタル無線ルーターの初期化及び設定を行う必要があります。,,,
Sun-Net光,Sun-Net光,Sun-Net Hikari,はい、ご利用可能です。光回線ご利用にあたっては無線ルーターの初期化及び設定を行う必要があります。,はい、ご利用可能です。光回線ご利用にあたっては無線ルーターの初期化及び設定を行う必要があります。,,,
Sun-Net光,Sun-Net光,Sun-Net Hikari,弊社指定無線ルーター以外のご利用も可能でございますが、設定についてはお客様ご自身で行っていただきます。無線ルーターの設定サポートについては弊社では対応できかねますので各メーカーにお問い合わせください。,弊社指定無線ルーター以外のご利用も可能でございますが、設定についてはお客様ご自身で行っていただきます。無線ルーターの設定サポートについては弊社では対応できかねますので各メーカーにお問い合わせください。,,,
Sun-Net光,,,建物の設備として高品質のインターネットが備わっているのであれば居室でのインターネット利用においては弊社サービスへの変更はおすすめいたしません。引越し先での生活がスタートした後、インターネットの速度等にご不満がありましたらSun-Net光への切り替えをおすすめいたします。,建物の設備として高品質のインターネットが備わっているのであれば居室でのインターネット利用においては弊社サービスへの変更はおすすめいたしません。引越し先での生活がスタートした後、インターネットの速度等にご不満がありましたらSun-Net光への切り替えをおすすめいたします。,,,
SM,SIM設定,SIM Settings,ご利用いただけます。ただしNTT DOCOMOの端末ではテザリング機能を利用出来ない場合がありますのでご注意ください。,ご利用いただけます。ただしNTT DOCOMOの端末ではテザリング機能を利用出来ない場合がありますのでご注意ください。,,,
SM,SIMサービス,SIM Service,"弊社まで必ずお問合せください。利用停止の処理を行います。
併せて警察機関へ紛失・盗難の届け出をお願いします。
SIMカード（端末等）を拾った第三者からの不正利用を防止する為お客さまご自身で端末ロックをお願いします。
なお、利用停止後にSIMカードを再発行します。停止中の月額料金についても請求対象です。※カードの再発行費用及び送料を別途請求します。","弊社まで必ずお問合せください。利用停止の処理を行います。
併せて警察機関へ紛失・盗難の届け出をお願いします。
SIMカード（端末等）を拾った第三者からの不正利用を防止する為お客さまご自身で端末ロックをお願いします。
なお、利用停止後にSIMカードを再発行します。停止中の月額料金についても請求対象です。※カードの再発行費用及び送料を別途請求します。",,,
SM,SIM設定,SIM Settings,お客様ご自身でロック解除の手続きをお願いします。,お客様ご自身でロック解除の手続きをお願いします。,,,
SM,SIMサービス,SIM Service,2つのサービスの契約期間が異なる場合は各サービス毎にお申込ください。毎月払いでは複数サービスを合算したご請求となります。尚、中途解約の際はそれぞれのサービスにて1ヶ月前の連絡が必要です。,2つのサービスの契約期間が異なる場合は各サービス毎にお申込ください。毎月払いでは複数サービスを合算したご請求となります。尚、中途解約の際はそれぞれのサービスにて1ヶ月前の連絡が必要です。,,,
SM,SIMサービス,SIM Service,できません。日本国内のみのサービスです。,できません。日本国内のみのサービスです。,,,
SM,接続の基本とトラブルシューティング,Basic Connection & Troubleshooting,LTEベストエフォート下り150Mbps(上り50Mbps)になります。通信制限は1ヶ月制限になります。容量を超えた後は速度制限がかかり当月末までの通信速度が最大200kbpsまで低下します。,LTEベストエフォート下り150Mbps(上り50Mbps)になります。通信制限は1ヶ月制限になります。容量を超えた後は速度制限がかかり当月末までの通信速度が最大200kbpsまで低下します。,,,
SM,SMS,SMS,SMS機能付きSIMカード及び音声SIMカードは利用することはできます。データ通信のみのSIMカードではSMSは利用できません。一定回数・量以上の国内SMSは有料となる場合があります。また国際SMSに関する送信・受信についても一部有料となります。詳しくは希望するSIMプランの説明をご確認ください。,SMS機能付きSIMカード及び音声SIMカードは利用することはできます。データ通信のみのSIMカードではSMSは利用できません。一定回数・量以上の国内SMSは有料となる場合があります。また国際SMSに関する送信・受信についても一部有料となります。詳しくは希望するSIMプランの説明をご確認ください。,,,
SM,SIMサービス,SIM Service,容量変更手数料として605円発生します。月に1度のみ変更が可能です。適用は変更希望月の翌月からとなります。※一部容量の変更ができないタイプのSIMプランもございます。,容量変更手数料として605円発生します。月に1度のみ変更が可能です。適用は変更希望月の翌月からとなります。※一部容量の変更ができないタイプのSIMプランもございます。,,,
SM,SIMサービス,SIM Service,速度が最大200kpbsまで落ちますがご利用は可能です。但し動画視聴など様々なコンテンツは快適にご利用いただけなくなります。,速度が最大200kpbsまで落ちますがご利用は可能です。但し動画視聴など様々なコンテンツは快適にご利用いただけなくなります。,,,
SM,SIM設定,SIM Settings,E-SIMによる提供プランはございません。E-SIMのみ利用可能な端末ではSun-NetのSIMカードを利用することはできません。,E-SIMによる提供プランはございません。E-SIMのみ利用可能な端末ではSun-NetのSIMカードを利用することはできません。,,,
SM,SIMサービス,SIM Service,"■SIMロック解除状況の確認手段（IOS14以降）

?『設定』アイコン→『一般』→『情報』の順にタップ

?ページ中部の「SIMロック」欄を確認

“SIMロックなし“と表示されているか確認してください。

SIMロックと表示されている場合はSun-NetのSIMカードを利用することはできません。ご利用にあたってはご契約中の通信会社へのSIMロック解除申請が必要です。

また、SIMカード挿入後に表示されたメッセージで確認することができます。

「SIMがロックされています」
「アクティベーションが必要です」
「このiPhoneに挿入したSIMカードはサポートされていないようです。iPhoneをアクティベーションするには、サポートされている電話会社の互換性のあるSIMカードしか使用することはできません。」","■SIMロック解除状況の確認手段（IOS14以降）

?『設定』アイコン→『一般』→『情報』の順にタップ

?ページ中部の「SIMロック」欄を確認

“SIMロックなし“と表示されているか確認してください。

SIMロックと表示されている場合はSun-NetのSIMカードを利用することはできません。ご利用にあたってはご契約中の通信会社へのSIMロック解除申請が必要です。

また、SIMカード挿入後に表示されたメッセージで確認することができます。

「SIMがロックされています」
「アクティベーションが必要です」
「このiPhoneに挿入したSIMカードはサポートされていないようです。iPhoneをアクティベーションするには、サポートされている電話会社の互換性のあるSIMカードしか使用することはできません。」",,,
SM,SIMサービス,SIM Service,"Androidスマートフォンの場合、機種によってSIMロックが解除されているかを確認する方法はまちまちです。

『設定』『デバイス情報（端末情報）』『SIMカードステータス』『SIMロックステータス』

『許可されています』→ロックが解除されています。

上記の方法で、SIMロックステータスが確認できない場合は、ご購入の販売店やご契約の通信事業者にご確認ください。","Androidスマートフォンの場合、機種によってSIMロックが解除されているかを確認する方法はまちまちです。

『設定』『デバイス情報（端末情報）』『SIMカードステータス』『SIMロックステータス』

『許可されています』→ロックが解除されています。

上記の方法で、SIMロックステータスが確認できない場合は、ご購入の販売店やご契約の通信事業者にご確認ください。",,,
ALL,料金支払,Payment,"以下、いずれかの金融機関宛てにお願いします。
※お振込み時にご自身の会員ID番号をご入力ください。

1.ゆうちょ銀行（Japan Post Bank）
　口座記号番号　00150-3-611077
　加入者名	株式会社サンライズ

2.三菱UFJ銀行/0005（Mitsubishi UFJ bank）
　浅草橋支店/069（Asakusabashi Branch）
　普通預金
　口座番号　0912502
　口座名義　株式会社サンライズ

3.りそな銀行/0010（Resona bank）
　秋葉原支店/275（Akihabara Branch）
　普通預金
　口座番号　2069388
　口座名義　株式会社サンライズ","以下、いずれかの金融機関宛てにお願いします。
※お振込み時にご自身の会員ID番号をご入力ください。

1.ゆうちょ銀行（Japan Post Bank）
　口座記号番号　00150-3-611077
　加入者名	株式会社サンライズ

2.三菱UFJ銀行/0005（Mitsubishi UFJ bank）
　浅草橋支店/069（Asakusabashi Branch）
　普通預金
　口座番号　0912502
　口座名義　株式会社サンライズ

3.りそな銀行/0010（Resona bank）
　秋葉原支店/275（Akihabara Branch）
　普通預金
　口座番号　2069388
　口座名義　株式会社サンライズ",,,
ALL,払込票払い,Payment Slip,期日が過ぎてもお支払いは可能です。但し督促料金が発生している場合は追加のお支払いが必要です。詳しくは弊社カスタマーサポートデスクまでお問い合わせください。,期日が過ぎてもお支払いは可能です。但し督促料金が発生している場合は追加のお支払いが必要です。詳しくは弊社カスタマーサポートデスクまでお問い合わせください。,,,
ALL,クレジットカード払い,Credit Card Payment,"お申込み情報到着後1週間以内に指定のメールアドレス宛に届きます。アクセス有効期限がありますので期限内の手続きをお願いします。期限切れの際は弊社までお問合せください。

クレジット支払手続きのメールは株式会社ゼウス（https://www.cardservice.co.jp/）のシステムを通じて配信されます。

●件名：[ZEUS]お支払手続きご案内メール
●差出人：mailinfo@cardservice.co.jp","お申込み情報到着後1週間以内に指定のメールアドレス宛に届きます。アクセス有効期限がありますので期限内の手続きをお願いします。期限切れの際は弊社までお問合せください。

クレジット支払手続きのメールは株式会社ゼウス（https://www.cardservice.co.jp/）のシステムを通じて配信されます。

●件名：[ZEUS]お支払手続きご案内メール
●差出人：mailinfo@cardservice.co.jp",,,
ALL,クレジットカード,Credit Card,領収書の発行には対応しておりません。カード会社発行の明細にてご確認をお願いします。,領収書の発行には対応しておりません。カード会社発行の明細にてご確認をお願いします。,,,
ALL,クレジットカード,Credit Card,再度こちらからクレジット情報を入力して頂くURLをメールでお送り致します。⇒info@sunrise-net.co.jpまでクレジットURL希望・名前をご記入の上メールをお願いします,再度こちらからクレジット情報を入力して頂くURLをメールでお送り致します。⇒info@sunrise-net.co.jpまでクレジットURL希望・名前をご記入の上メールをお願いします,,,
ALL,クレジットカード,Credit Card,毎月10日前後です。但し決済システムによる都合や年末年始、GWなど長期休暇及び長期祝日の際は変更する場合がございますのでご了承ください。,毎月10日前後です。但し決済システムによる都合や年末年始、GWなど長期休暇及び長期祝日の際は変更する場合がございますのでご了承ください。,,,
ALL,口座振替,Bank Transfer,再引き落とし（再振替）は受付しておりません。支払い期日までにお振込みいただくようおねがいします。,再引き落とし（再振替）は受付しておりません。支払い期日までにお振込みいただくようおねがいします。,,,
ALL,口座振替,Bank Transfer,毎月28日です。28日が土・日や祝日の際は翌金融機関営業日が引落日となります。前営業日までに引落金額以上の口座残高となるようご留意ください。,毎月28日です。28日が土・日や祝日の際は翌金融機関営業日が引落日となります。前営業日までに引落金額以上の口座残高となるようご留意ください。,,,
ALL,料金支払,Payment,お申込時に実家請求希望欄にチェックをお願い致します。,お申込時に実家請求希望欄にチェックをお願い致します。,,,
ALL,料金支払,Payment,コンビニエンスストアでのお支払いには対応しておりません。コンビニエンスストア設置のATMからのお支払い操作をおねがいします。,コンビニエンスストアでのお支払いには対応しておりません。コンビニエンスストア設置のATMからのお支払い操作をおねがいします。,,,
ALL,変更手続き,Change Procedures,はい。親権者又は代理人の口座であれば可能でございます。口座振替依頼書下部に契約者情報を記入の上お手続きください。,はい。親権者又は代理人の口座であれば可能でございます。口座振替依頼書下部に契約者情報を記入の上お手続きください。,,,
ALL,料金支払,Payment,はい。親権者又は代理人のクレジットカードであれば可能でございます。,はい。親権者又は代理人のクレジットカードであれば可能でございます。,,,
ALL,,,いいえ。指定することができません。日本国内の金融機関の口座をご指定ください。,いいえ。指定することができません。日本国内の金融機関の口座をご指定ください。,,,
ALL,,,Visa、Mastercard、JCB、American Express、Diners Clubの国際ブランドに対応しています。,Visa、Mastercard、JCB、American Express、Diners Clubの国際ブランドに対応しています。,,,
ALL,,,カード発行会社や諸条件によりお使いいただけない場合がございます。詳しくはお客様のカード発行会社までお尋ねください。,カード発行会社や諸条件によりお使いいただけない場合がございます。詳しくはお客様のカード発行会社までお尋ねください。,,,
ALL,払込票払い,Payment Slip,"＜ゆうちょ銀行ATMでの方法＞

---払込取扱票での送金の場合---
1.「ご送金」を選択します。
2.「払込書でのご送金」を選択します。
3.「払込書」を入れます。払込書に住所氏名、会員IDをご記入の上、払込書を入れてください。

---ゆうちょ口座間での送金の場合---
1.「ゆうちょ口座へのご送金」を選択します。
2.「通帳、またはカード」を入れます。
3.「記号番号」を選択します。
4. 記号に「00150-3」を入力します。
5. 番号に「611077」を入力します。
6. 金額を入力してください。
7. 最後に確認を押せば手続きは完了します。","＜ゆうちょ銀行ATMでの方法＞

---払込取扱票での送金の場合---
1.「ご送金」を選択します。
2.「払込書でのご送金」を選択します。
3.「払込書」を入れます。払込書に住所氏名、会員IDをご記入の上、払込書を入れてください。

---ゆうちょ口座間での送金の場合---
1.「ゆうちょ口座へのご送金」を選択します。
2.「通帳、またはカード」を入れます。
3.「記号番号」を選択します。
4. 記号に「00150-3」を入力します。
5. 番号に「611077」を入力します。
6. 金額を入力してください。
7. 最後に確認を押せば手続きは完了します。",,,
ALL,口座振替,Bank Transfer,口座開設時にサインを必要としたネット銀行の場合は捺印欄にサインをおねがいします。捺印・サインなしで口座開設された場合は不要です。詳しくはネット銀行側にお問合せください。,口座開設時にサインを必要としたネット銀行の場合は捺印欄にサインをおねがいします。捺印・サインなしで口座開設された場合は不要です。詳しくはネット銀行側にお問合せください。,,,
ALL,口座振替,Bank Transfer,"再提出のご案内書類にて不備理由が明記されています。よくある不備内容は以下の項目です。

・お届け印のもれ、相違、不鮮明
・他人名義口座記入
・預金者名の字体相違、フリガナもれ
・金融機関名・支店名・口座番号の相違
・口座番号不明瞭
・インターネットバンキング手続きの登録未完了

※記入内容を間違えた場合は、二重線で訂正を入れお届け印を押してください。
※ご印鑑は鮮明に確認がとれる状態に押印ください。不鮮明（にじみ、かすみ等）であれば枠外に追加で押印ください。","再提出のご案内書類にて不備理由が明記されています。よくある不備内容は以下の項目です。

・お届け印のもれ、相違、不鮮明
・他人名義口座記入
・預金者名の字体相違、フリガナもれ
・金融機関名・支店名・口座番号の相違
・口座番号不明瞭
・インターネットバンキング手続きの登録未完了

※記入内容を間違えた場合は、二重線で訂正を入れお届け印を押してください。
※ご印鑑は鮮明に確認がとれる状態に押印ください。不鮮明（にじみ、かすみ等）であれば枠外に追加で押印ください。",,,
